Key,Source,Context,Changes,English


vehicleBattle01,entity,Entity,,"Derby Buggy"
vehicleBattle01Placeable,item,Items,,"Derby Buggy"
vehicleBlockBattle01,block,Blocks,,"Derby Buggy (Locked)"
vehicleLootBlockBattle01,block,Blocks,,"Derby Buggy"
vehicleLoot2BlockBattle01,block,Blocks,,"Derby Buggy"
vehicleBlockBattle01Pickup,block,Blocks,,"Derby Buggy - Driveable"
vehicleBlockBattle01Empty,block,Blocks,,"Derby Buggy - Broken"

vehicleBattle02,entity,Entity,,"Derby #1"
vehicleBattle02Placeable,item,Items,,"Derby #1"
vehicleBlockBattle02,block,Blocks,,"Derby #1 (Locked)"
vehicleLootBlockBattle02,block,Blocks,,"Derby #1"
vehicleLoot2BlockBattle02,block,Blocks,,"Derby #1"
vehicleBlockBattle02Pickup,block,Blocks,,"Derby #1 - Driveable"
vehicleBlockBattle02Empty,block,Blocks,,"Derby #1 - Broken"

vehicleBattle03,entity,Entity,,"Derby #2"
vehicleBattle03Placeable,item,Items,,"Derby #2"
vehicleBlockBattle03,block,Blocks,,"Derby #2 (Locked)"
vehicleLootBlockBattle03,block,Blocks,,"Derby #2"
vehicleLoot2BlockBattle03,block,Blocks,,"Derby #2"
vehicleBlockBattle03Pickup,block,Blocks,,"Derby #2 - Driveable"
vehicleBlockBattle03Empty,block,Blocks,,"Derby #2 - Broken"

vehicleBattle04,entity,Entity,,"Derby #3"
vehicleBattle04Placeable,item,Items,,"Derby #3"
vehicleBlockBattle04,block,Blocks,,"Derby #3 (Locked)"
vehicleLootBlockBattle04,block,Blocks,,"Derby #3"
vehicleLoot2BlockBattle04,block,Blocks,,"Derby #3"
vehicleBlockBattle04Pickup,block,Blocks,,"Derby #3 - Driveable"
vehicleBlockBattle04Empty,block,Blocks,,"Derby #3 - Broken"

vehicleBattle05,entity,Entity,,"Derby #4"
vehicleBattle05Placeable,item,Items,,"Derby #5"
vehicleBlockBattle05,block,Blocks,,"Derby #4 (Locked)"
vehicleLootBlockBattle05,block,Blocks,,"Derby #4"
vehicleLoot2BlockBattle05,block,Blocks,,"Derby #4"
vehicleBlockBattle05Pickup,block,Blocks,,"Derby #4 - Driveable"
vehicleBlockBattle05Empty,block,Blocks,,"Derby #4 - Broken"

vehicleBattle06,entity,Entity,,"Derby #5"
vehicleBattle06Placeable,item,Items,,"Derby #5"
vehicleBlockBattle06,block,Blocks,,"Derby #5 (Locked)"
vehicleLootBlockBattle06,block,Blocks,,"Derby #5"
vehicleLoot2BlockBattle06,block,Blocks,,"Derby #5"
vehicleBlockBattle06Pickup,block,Blocks,,"Derby #5 - Driveable"
vehicleBlockBattle06Empty,block,Blocks,,"Derby #5 - Broken"

vehicleSuperCar01,entity,Entity,,"Sports Car #1"
vehicleSuperCar01Placeable,item,Items,,"Sports Car #1"
vehicleBlockSuperCar01,block,Blocks,,"Sports Car #1 (Locked)"
vehicleLootBlockSuperCar01,block,Blocks,,"Sports Car #1"
vehicleLoot2BlockSuperCar01,block,Blocks,,"Sports Car #1"
vehicleBlockSuperCar01Pickup,block,Blocks,,"Sports Car #1 - Driveable"
